     PKT_No. 	    TimeStamp 	    ax(m/s^2) 	    ay(m/s^2) 	    az(m/s^2) 	    gx(rad/s) 	    gy(rad/s) 	    gz(rad/s) 
        10267 	        2.384 	         0.02 	         0.35 	         9.84 	         0.01 	         0.01 	         0.00 
        10268 	        2.400 	        -0.02 	         0.36 	         9.88 	         0.00 	         0.00 	         0.00 
        10269 	        2.416 	         0.01 	         0.36 	         9.89 	         0.01 	        -0.01 	        -0.00 
        10270 	        2.432 	        -0.01 	         0.35 	         9.86 	        -0.00 	         0.01 	         0.00 
        10271 	        2.448 	         0.00 	         0.40 	         9.89 	         0.01 	        -0.01 	         0.00 
        10272 	        2.464 	         0.01 	         0.34 	         9.89 	        -0.01 	         0.01 	         0.00 
        10273 	        2.480 	        -0.01 	         0.35 	         9.87 	         0.00 	        -0.00 	         0.00 
        10274 	        2.496 	         0.05 	         0.35 	         9.83 	         0.00 	        -0.01 	        -0.00 
        10275 	        2.512 	         0.02 	         0.40 	         9.83 	         0.00 	        -0.00 	         0.00 
        10276 	        2.528 	        -0.01 	         0.39 	         9.83 	        -0.00 	         0.00 	         0.00 
        10277 	        2.544 	         0.03 	         0.37 	         9.91 	         0.00 	         0.01 	         0.00 
        10278 	        2.560 	         0.02 	         0.38 	         9.85 	         0.00 	        -0.00 	        -0.00 
        10279 	        2.576 	         0.03 	         0.36 	         9.87 	        -0.01 	         0.00 	         0.00 
        10280 	        2.592 	         0.00 	         0.39 	         9.87 	         0.01 	         0.00 	         0.00 
        10281 	        2.608 	        -0.00 	         0.38 	         9.89 	         0.00 	         0.00 	         0.00 
        10282 	        2.624 	         0.03 	         0.34 	         9.90 	         0.00 	         0.00 	         0.00 
        10283 	        2.640 	         0.04 	         0.40 	         9.87 	        -0.00 	        -0.00 	         0.00 
        10284 	        2.656 	         0.03 	         0.37 	         9.85 	         0.00 	        -0.00 	         0.00 
        10285 	        2.672 	         0.03 	         0.39 	         9.85 	        -0.00 	         0.00 	         0.00 
        10286 	        2.688 	         0.03 	         0.35 	         9.85 	        -0.00 	         0.00 	         0.00 
        10287 	        2.704 	        -0.00 	         0.39 	         9.87 	        -0.01 	         0.00 	         0.00 
        10288 	        2.720 	        -0.02 	         0.36 	         9.89 	        -0.00 	        -0.00 	         0.00 
        10289 	        2.736 	         0.05 	         0.38 	         9.85 	         0.00 	         0.00 	         0.00 
        10290 	        2.752 	        -0.00 	         0.36 	         9.88 	         0.00 	         0.01 	         0.00 
        10291 	        2.768 	        -0.01 	         0.35 	         9.88 	         0.01 	        -0.01 	         0.00 
        10292 	        2.784 	         0.03 	         0.37 	         9.90 	        -0.00 	        -0.00 	         0.00 
        10293 	        2.800 	         0.02 	         0.38 	         9.86 	         0.01 	        -0.00 	         0.00 
        10294 	        2.816 	         0.04 	         0.37 	         9.86 	         0.00 	        -0.00 	         0.00 
        10295 	        2.832 	         0.02 	         0.37 	         9.85 	         0.00 	        -0.00 	        -0.00 
        10296 	        2.848 	         0.02 	         0.37 	         9.84 	         0.00 	         0.00 	         0.00 
        10297 	        2.864 	         0.04 	         0.36 	         9.90 	         0.00 	         0.01 	         0.00 
        10298 	        2.880 	         0.01 	         0.38 	         9.82 	        -0.00 	         0.00 	         0.00 
        10299 	        2.896 	         0.00 	         0.34 	         9.87 	        -0.00 	         0.00 	        -0.00 
        10300 	        2.912 	         0.01 	         0.37 	         9.90 	         0.00 	         0.00 	         0.00 
        10301 	        2.928 	        -0.02 	         0.35 	         9.87 	         0.00 	        -0.00 	         0.00 
